"id,ordinamento,nome_italiano,nome_inglese,enable,created_at,updated_at"
"1,7,VINI,WINES,1,,2024-08-20 12:02:38"
"2,0,ANTIPASTI CUCINA,STARTERS ,1,,2024-08-05 09:10:28"
"3,1,PRIMI,FIRST COURSES,1,,2024-08-05 09:10:28"
"4,2,SECONDI,SECOND COURSES,1,,2024-08-05 08:48:09"
"5,3,CONTORNI,SIDE DISHES,1,,2024-08-20 12:01:40"
"10,4,DOLCI,DESSERTS,1,2024-07-30 21:15:59,2024-10-15 17:36:16"
"11,5,ANTIPASTI PIZZERIA ,STARTERS PIZZA,1,2024-07-30 22:21:09,2024-10-15 17:36:16"
"12,6,PIZZERIA,PIZZA,1,2024-07-30 22:22:06,2024-10-15 17:36:16"
"13,8,BEVANDE,DRINKS,1,2024-07-30 22:25:49,2024-08-20 12:02:38"
"14,9,AMARI E DISTILLATI ,DISTILLATE,1,2024-07-30 22:28:06,2024-08-05 08:46:47"
